Bannach;0;Sudeste Paraense
Nova Ipixuna;0;Sudeste Paraense
Palestina do Para;0;Sudeste Paraense
Santa Luzia do Para;0;Nordeste Paraense
Sao Joao da Ponta;0;Nordeste Paraense
Terra Santa;3.22;Baixo Amazonas
Aurora do Para;4.71;Nordeste Paraense
Bonito;4.76;Nordeste Paraense
Dom Eliseu;5.03;Sudeste Paraense
Primavera;5.24;Nordeste Paraense
Terra Alta;5.49;Nordeste Paraense
Sao Domingos do Araguaia;5.68;Sudeste Paraense
Quatipuru;6.17;Nordeste Paraense
Melgaco;6.36;Marajo
Ourem;6.45;Nordeste Paraense
Bujaru;6.48;Metropolitana de Belem
Santana do Araguaia;6.64;Sudeste Paraense
Novo Progresso;6.84;Sudoeste Paraense
Rondon do Para;7.56;Sudeste Paraense
Abel Figueiredo;7.58;Sudeste Paraense
Nova Timboteua;7.63;Nordeste Paraense
Soure;7.77;Marajo
Vitoria do Xingu;8.22;Sudoeste Paraense
Garrafao do Norte;8.23;Nordeste Paraense
Floresta do Araguaia;8.72;Sudeste Paraense
Salinopolis;8.82;Nordeste Paraense
Braganca;8.93;Nordeste Paraense
Sao Caetano de Odivelas;8.93;Nordeste Paraense
Sao Geraldo do Araguaia;9.2;Sudeste Paraense
Brasil Novo;9.23;Sudoeste Paraense
Prainha;9.35;Baixo Amazonas
Marapanim;9.9;Nordeste Paraense
Brejo Grande do Araguaia;10;Sudeste Paraense
Cumaru do Norte;10;Sudeste Paraense
Barcarena;10.03;Metropolitana de Belem
Castanhal;10.16;Metropolitana de Belem
Bom Jesus do Tocantins;10.27;Sudeste Paraense
Peixe-Boi;10.53;Nordeste Paraense
Anapu;10.74;Sudoeste Paraense
Sao Domingos do Capim;10.75;Nordeste Paraense
Sapucaia;10.75;Sudeste Paraense
Igarape-Acu;10.77;Nordeste Paraense
Sao Joao do Araguaia;10.93;Sudeste Paraense
Abaetetuba;11.44;Nordeste Paraense
Nova Esperanca do Piria;11.53;Nordeste Paraense
Paragominas;11.64;Sudeste Paraense
Gurupa;11.66;Marajo
Afua;11.85;Marajo
Tome-Acu;11.89;Nordeste Paraense
Parauapebas;12.46;Sudeste Paraense
Ananindeua;12.56;Metropolitana de Belem
Vigia;12.64;Nordeste Paraense
Colares;12.74;Nordeste Paraense
Senador Jose Porfirio;13.11;Sudoeste Paraense
Santa Maria do Para;13.19;Nordeste Paraense
Canaa dos Carajas;13.63;Sudeste Paraense
Santo Antonio do Taua;13.67;Metropolitana de Belem
Ponta de Pedras;13.77;Marajo
obidos;13.79;Baixo Amazonas
Marituba;13.8;Metropolitana de Belem
Tucurui;13.97;Sudeste Paraense
Igarape-Miri;14;Nordeste Paraense
Benevides;14.01;Metropolitana de Belem
Ipixuna do Para;14.02;Nordeste Paraense
Sao Miguel do Guama;14.04;Nordeste Paraense
Uruara;14.05;Sudoeste Paraense
Placas;14.18;Baixo Amazonas
Portel;14.23;Marajo
Rio Maria;14.23;Sudeste Paraense
Altamira;14.36;Sudoeste Paraense
Anajas;14.49;Marajo
Curuca;14.6;Nordeste Paraense
Tracuateua;14.64;Nordeste Paraense
Ruropolis;14.74;Sudoeste Paraense
Augusto Correa;14.87;Nordeste Paraense
Novo Repartimento;15.08;Sudeste Paraense
Santa Isabel do Para;15.08;Metropolitana de Belem
Maraba;15.14;Sudeste Paraense
Tailandia;15.14;Nordeste Paraense
Santa Barbara do Para;15.2;Metropolitana de Belem
Sao Sebastiao da Boa Vista;15.21;Marajo
Mocajuba;15.22;Nordeste Paraense
Itupiranga;15.38;Sudeste Paraense
Jacunda;15.41;Sudeste Paraense
Belem;15.5;Metropolitana de Belem
Ourilandia do Norte;15.56;Sudeste Paraense
Ulianopolis;15.77;Sudeste Paraense
Capitao Poco;15.86;Nordeste Paraense
Mae do Rio;15.96;Nordeste Paraense
Monte Alegre;16.19;Baixo Amazonas
Concordia do Para;16.51;Nordeste Paraense
Xinguara;16.95;Sudeste Paraense
Capanema;17;Nordeste Paraense
Sao Francisco do Para;17.02;Nordeste Paraense
Magalhaes Barata;17.09;Nordeste Paraense
Breves;17.17;Marajo
Acara;17.36;Nordeste Paraense
Itaituba;17.38;Sudoeste Paraense
Chaves;17.7;Marajo
Tucuma;17.74;Sudeste Paraense
Salvaterra;17.8;Marajo
Goianesia do Para;17.92;Sudeste Paraense
Oriximina;18.08;Baixo Amazonas
Pacaja;18.09;Sudoeste Paraense
Cameta;18.14;Nordeste Paraense
Santa Cruz do Arari;18.18;Marajo
Trairao;18.25;Sudoeste Paraense
Breu Branco;18.3;Sudeste Paraense
Santarem;18.34;Baixo Amazonas
Inhangapi;18.52;Metropolitana de Belem
Santa Maria das Barreiras;18.6;Sudeste Paraense
Redencao;19.12;Sudeste Paraense
Limoeiro do Ajuru;19.23;Nordeste Paraense
Belterra;19.29;Baixo Amazonas
Viseu;19.4;Nordeste Paraense
Cachoeira do Piria;19.48;Nordeste Paraense
Muana;19.48;Marajo
Sao Joao de Pirabas;19.54;Nordeste Paraense
Irituia;19.74;Nordeste Paraense
Jacareacanga;20.41;Sudoeste Paraense
Aveiro;20.69;Sudoeste Paraense
Eldorado dos Carajas;20.75;Sudeste Paraense
Mojui dos campos;20.9;Baixo Amazonas
Santarem Novo;21.05;Nordeste Paraense
Conceicao do Araguaia;21.25;Sudeste Paraense
Curionopolis;22.44;Sudeste Paraense
Cachoeira do Arari;23.32;Marajo
Faro;24.19;Baixo Amazonas
Sao Felix do Xingu;24.21;Sudeste Paraense
Picarra;24.24;Sudeste Paraense
Curralinho;24.46;Marajo
Medicilandia;24.49;Sudoeste Paraense
Pau D'Arco;25;Sudeste Paraense
Alenquer;25.13;Baixo Amazonas
Curua;25.21;Baixo Amazonas
Oeiras do Para;25.34;Nordeste Paraense
Bagre;25.55;Marajo
Almeirim;25.67;Baixo Amazonas
Maracana;25.71;Nordeste Paraense
Moju;26.09;Nordeste Paraense
Porto de Moz;27.34;Baixo Amazonas
Juruti;27.53;Baixo Amazonas
Baiao;27.94;Nordeste Paraense
agua Azul do Norte;31.11;Sudeste Paraense
